板块	公司全称	英文名称	注册地址	A股代码	A股简称	A股上市日期	A股总股本	A股流通股本	B股代码	B股 简 称	B股上市日期	B股总股本	B股流通股本	地      区	省    份	城     市	所属行业	公司网址
中小板	广东宏大爆破股份有限公司	"Guangdong HongDa Blasting Co.,Ltd."	广东省广州市天河区珠江新城华夏路49号之二津滨腾越大厦北塔21层	002683	宏大爆破	2012-06-12	"750,093,456"	"609,072,333"				0	0	华南	广东	广州市	B 采矿业	www.hdbp.com
中小板	猛狮新能源科技（河南）股份有限公司	"Dynavolt Renewable Energy Technology (Henan) Co., Ltd."	河南省三门峡市城乡一体化示范区禹王路汇智空间215室	002684	ST猛狮	2012-06-12	"567,374,389"	"442,379,312"				0	0	华中	河南	三门峡市	C 制造业	www.dynavolt.net
中小板	无锡华东重型机械股份有限公司	"WUXI HUADONG HEAVY MACHINERY CO.,LTD."	江苏省无锡市滨湖区高浪东路508号华发传感大厦B座24楼	002685	华东重机	2012-06-12	"1,007,690,641"	"780,899,391"				0	0	华东	江苏	无锡市	C 制造业	www.hdhm.com
中小板	浙江亿利达风机股份有限公司	"ZHEJIANG YILIDA VENTILATOR CO.,LTD."	浙江省台州市路桥区横街镇亿利达路	002686	亿利达	2012-07-03	"566,239,133"	"391,502,239"				0	0	华东	浙江	台州市	C 制造业	www.yilida.com
中小板	浙江乔治白服饰股份有限公司	"ZHEJIANG GIUSEPPE GARMENT CO.,LTD"	浙江省平阳县昆阳镇平瑞公路588号	002687	乔治白	2012-07-13	"350,000,000"	"287,750,000"				0	0	华东	浙江	温州市	C 制造业	www.giuseppe.cn
中小板	金河生物科技股份有限公司	"Jinhe Biotechnology CO.,LTD."	内蒙古自治区呼和浩特市托克托县新坪路71号	002688	金河生物	2012-07-13	"635,289,655"	"624,444,508"				0	0	华北	内蒙古	呼和浩特市	C 制造业	www.jinhe.com.cn
中小板	沈阳远大智能工业集团股份有限公司	"SHENYANG YUANDA INTELLECTUAL INDUSTRY GROUP CO.,LTD"	辽宁省沈阳经济技术开发区开发大路27号	002689	远大智能	2012-07-17	"1,043,310,725"	"1,040,621,210"				0	0	东北	辽宁	沈阳市	C 制造业	www.bltelevator.com
中小板	合肥美亚光电技术股份有限公司	Hefei Meyer Optoelectronic Technology Inc.	安徽省合肥市高新区望江西路668号	002690	美亚光电	2012-07-31	"676,000,000"	"331,037,421"				0	0	华东	安徽	合肥市	C 制造业	www.chinameyer.com
中小板	冀凯装备制造股份有限公司	"Jikai Equipment Manufacturing Co., Ltd."	河北省石家庄高新区湘江道418号	002691	冀凯股份	2012-07-31	"340,000,000"	"339,001,654"				0	0	华北	河北	石家庄市	C 制造业	www.jikaigf.com
中小板	远程电缆股份有限公司	"Yuan Cheng Cable Co.,Ltd."	江苏省宜兴市官林镇远程路8号	002692	ST远程	2012-08-08	"718,146,000"	"678,912,300"				0	0	华东	江苏	无锡市	C 制造业	www.yccable.cn
中小板	海南双成药业股份有限公司	"Hainan Shuangcheng Pharmaceuticals Co.,Ltd."	海南省海口市秀英区兴国路16号	002693	双成药业	2012-08-08	"405,000,000"	"403,416,821"				0	0	华南	海南	海口市	C 制造业	www.shuangchengmed.com
中小板	顾地科技股份有限公司	"GOODY SCIENCE & TECHNOLOGY CO.,LTD."	湖北省鄂州经济开发区吴楚大道18号	002694	顾地科技	2012-08-16	"597,196,800"	"529,970,011"				0	0	华中	湖北	鄂州市	C 制造业	www.goody.com.cn
中小板	江西煌上煌集团食品股份有限公司	"Jiangxi Huangshanghuang Group Food Co.,Ltd."	江西省南昌市南昌县小蓝经济开发区小蓝中大道66号	002695	煌上煌	2012-09-05	"512,785,928"	"461,268,293"				0	0	华东	江西	南昌市	C 制造业	www.jxhsh.com.cn
中小板	百洋产业投资集团股份有限公司	"BAIYANG INVESTMENT GROUP, INC."	广西壮族自治区南宁高新技术开发区高新四路9号	002696	百洋股份	2012-09-05	"349,386,910"	"345,756,240"				0	0	华南	广西	南宁市	A 农林牧渔	www.baiyang.com
中小板	成都红旗连锁股份有限公司	"Chengdu Hongqi Chain Co.,Ltd."	四川省成都市高新区西区迪康大道七号	002697	红旗连锁	2012-09-05	"1,360,000,000"	"1,078,225,000"				0	0	西南	四川	成都市	F 批发零售	www.hqls.com.cn
中小板	哈尔滨博实自动化股份有限公司	"HARBIN BOSHI AUTOMATION CO.,LTD."	黑龙江省哈尔滨开发区迎宾路集中区东湖街9号	002698	博实股份	2012-09-11	"1,022,550,000"	"789,776,853"				0	0	东北	黑龙江	哈尔滨市	C 制造业	www.boshi.cn
中小板	美盛文化创意股份有限公司	Meisheng Cultural&Creative Corp.Ltd.	浙江省绍兴市新昌省级高新技术园区内（南岩）	002699	美盛文化	2012-09-11	"909,572,725"	"909,572,725"				0	0	华东	浙江	绍兴市	R 文化传播	www.chinarising.com.cn
中小板	新疆浩源天然气股份有限公司	"XinJiang Haoyuan Natural Gas Co.,LTD."	新疆维吾尔自治区阿克苏市英阿瓦提路2号	002700	ST浩源	2012-09-21	"422,426,880"	"315,938,255"				0	0	西北	新疆	阿克苏地区	D 水电煤气	www.hytrq.com
中小板	奥瑞金科技股份有限公司	"ORG Technology Co.,Ltd."	北京市怀柔区雁栖工业开发区	002701	奥瑞金	2012-10-11	"2,416,315,493"	"2,415,638,164"				0	0	华北	北京	北京市	C 制造业	www.orgtech.cn
中小板	海欣食品股份有限公司	"HaiXin Foods  CO.,LTD."	福建省福州市仓山区金山建新北路150号1#楼	002702	海欣食品	2012-10-11	"480,760,000"	"312,529,250"				0	0	华东	福建	福州市	C 制造业	www.tengxinfoods.com.cn
中小板	浙江世宝股份有限公司	ZHEJIANG SHIBAO COMPANY LIMITED	浙江省义乌市佛堂镇双林路1号	002703	浙江世宝	2012-11-02	"572,859,637"	"553,065,952"				0	0	华东	浙江	金华市	C 制造业	www.zjshibao.com
中小板	广东新宝电器股份有限公司	"Guangdong Xinbao Electrical Appliances Holdings Co.,Ltd"	广东省佛山市顺德区勒流镇政和南路	002705	新宝股份	2014-01-21	"801,472,885"	"796,115,290"				0	0	华南	广东	佛山市	C 制造业	www.donlim.com
中小板	上海良信电器股份有限公司	"Shanghai Liangxin Electrical Co., Ltd."	上海市浦东新区申江南路2000号	002706	良信股份	2014-01-21	"784,736,895"	"597,654,494"				0	0	华东	上海	上海市	C 制造业	www.sh-liangxin.com
中小板	众信旅游集团股份有限公司	"UTour Group Co., Ltd."	北京市朝阳区朝阳公园路8号西2门01号	002707	众信旅游	2014-01-23	"906,271,789"	"580,027,071"				0	0	华北	北京	北京市	L 商务服务	www.utourworld.com
中小板	常州光洋轴承股份有限公司	CHANGZHOU NRB CORPORATION	江苏省常州市新北区汉江路52号	002708	光洋股份	2014-01-21	"468,861,076"	"393,497,076"				0	0	华东	江苏	常州市	C 制造业	www.nrb.com.cn
中小板	广州天赐高新材料股份有限公司	"Guangzhou Tinci Materials Technology Co., Ltd"	广东省广州市黄埔区云埔工业区东诚片康达路8号	002709	天赐材料	2014-01-23	"546,129,449"	"378,980,973"				0	0	华南	广东	广州市	C 制造业	www.tinci.com
中小板	欧浦智网股份有限公司	"Europol Intelligent Network Co.,Ltd."	广东省佛山市顺德区乐从镇路州村委会第二工业区乐成路7号地	002711	*ST欧浦	2014-01-27	"1,056,070,400"	"1,056,070,400"				0	0	华南	广东	佛山市	G 运输仓储	www.oupuzw.com
中小板	思美传媒股份有限公司	"Simei Media Co.,Ltd."	浙江省杭州市上城区南复路59号	002712	思美传媒	2014-01-23	"581,202,488"	"565,854,571"				0	0	华东	浙江	杭州市	L 商务服务	www.simei.cc
中小板	东易日盛家居装饰集团股份有限公司	"DONG YI RI SHENG HOME DECORATION GROUP CO.,LTD."	北京市房山区长沟镇房易路西侧	002713	东易日盛	2014-02-19	"419,536,980"	"401,609,094"				0	0	华北	北京	北京市	E 建筑业	www.dyrs.cn
中小板	牧原食品股份有限公司	"Muyuan Foods Co.,Ltd."	河南省南阳市内乡县灌涨镇水田村	002714	牧原股份	2014-01-28	"3,747,834,147"	"2,494,965,398"				0	0	华中	河南	南阳市	A 农林牧渔	www.hnnxmy.com
中小板	怀集登云汽配股份有限公司	"Huaiji Dengyun Auto-parts (Holding) Co.,Ltd."	广东省怀集县怀城镇登云亭	002715	登云股份	2014-02-19	"138,000,000"	"130,231,529"				0	0	华南	广东	肇庆市	C 制造业	www.huaijivalve.com
中小板	郴州市金贵银业股份有限公司	"CHENZHOU CITY JINGUI SILVER INDUSTRY CO., LTD."	湖南省郴州市苏仙区白露塘镇福城大道1号（湖南郴州高新技术产业园内）	002716	*ST金贵	2014-01-28	"2,210,479,088"	"1,986,154,914"				0	0	华中	湖南	郴州市	C 制造业	www.jingui-silver.com
中小板	岭南生态文旅股份有限公司	"LingNan Eco&Culture-Tourism Co., Ltd"	广东省东莞市东城街道东源路东城文化中心扩建楼1号楼10楼	002717	岭南股份	2014-02-19	"1,528,762,449"	"1,065,541,698"				0	0	华南	广东	东莞市	N 公共环保	www.lingnan.cn
中小板	浙江友邦集成吊顶股份有限公司	"Zhejiang Youpon Integrated ceiling Co., Ltd."	浙江省嘉兴市海盐县百步工业区北A区	002718	友邦吊顶	2014-01-28	"131,447,829"	"66,378,627"				0	0	华东	浙江	嘉兴市	C 制造业	www.chinayoubang.com
中小板	麦趣尔集团股份有限公司	"Maiquer Group CO.,LTD"	新疆维吾尔自治区昌吉回族自治州昌吉市麦趣尔大道	002719	*ST麦趣	2014-01-28	"174,139,457"	"161,872,295"				0	0	西北	新疆	昌吉回族自治州	C 制造业	www.maiquer.com
中小板	北京金一文化发展股份有限公司	"BEIJING KINGEE CULTURE DEVELOPMENT CO.,LTD"	北京市海淀区复兴路69号院11号9层	002721	金一文化	2014-01-27	"959,925,877"	"738,021,731"				0	0	华北	北京	北京市	C 制造业	www.king1.com.cn
中小板	金轮蓝海股份有限公司	"Geron Co., Ltd."	江苏省海门市海门经济技术开发区广州路999号	002722	金轮股份	2014-01-28	"175,476,692"	"175,461,317"				0	0	华东	江苏	南通市	C 制造业	www.geron-china.com
中小板	广东金莱特电器股份有限公司	"KENNEDE ELECTRONICS MFG. CO., LTD."	广东省江门市蓬江区棠下镇金桐路21号	002723	金莱特	2014-01-29	"192,158,000"	"176,263,000"				0	0	华南	广东	江门市	C 制造业	www.kennede.com
中小板	海洋王照明科技股份有限公司	"Ocean""s King Lighting Science & Technology Co., Ltd."	广东省深圳市光明新区光明街道高新路1601号海洋王科技楼B栋1层	002724	海洋王	2014-11-04	"779,829,726"	"330,761,012"				0	0	华南	广东	深圳市	C 制造业	www.haiyangwang.com
中小板	浙江跃岭股份有限公司	"Zhejiang Yueling Co., Ltd."	浙江省温岭市泽国镇泽国大道888号	002725	跃岭股份	2014-01-29	"256,000,000"	"195,340,563"				0	0	华东	浙江	台州市	C 制造业	www.yuering.com
中小板	山东龙大肉食品股份有限公司	"Shandong Longda Meat Foodstuff Co.,Ltd"	山东省莱阳市食品工业园	002726	龙大肉食	2014-06-26	"995,938,580"	"979,893,005"				0	0	华东	山东	烟台市	C 制造业	www.longdameat.com
中小板	一心堂药业集团股份有限公司	"Yixintang Pharmaceutical Group Co., Ltd."	云南省昆明市经济技术开发区鸿翔路1号	002727	一心堂	2014-07-02	"595,312,525"	"383,276,633"				0	0	西南	云南	昆明市	F 批发零售	www.hx8886.com
中小板	特一药业集团股份有限公司	"TEYI PHARMACEUTICAL GROUP CO.,LTD"	广东省台山市台城长兴路9、11号	002728	特一药业	2014-07-31	"203,517,849"	"127,100,349"				0	0	华南	广东	台山市	C 制造业	www.tczy.com.cn
